comments,risk,conditions,habitat,simulation,empirical,ps_model,other_model,review,link,DL,PY,AU,SO...14,SO...15,DOI
,,,,,shark mackerel,,,,https://sci-hub.st/http://dx.doi.org/10.1017/S0025315408001537,http://dx.doi.org/10.1017/S0025315408001537,2008,"Auster, PJ",Journal Of The Marine Biological Association Of The United Kingdom,Variation In Search And Predatory Attack Strategies Of Shark Mackerel Grammatorcynus Bicarinatus,10.1017/S0025315408001537
,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2009.09.001,http://dx.doi.org/10.1016/j.anbehav.2009.09.001,2009,"Hamblin, S; Giraldeau, LA",Animal Behaviour,Finding The Evolutionarily Stable Learning Rule For Frequency-Dependent Foraging,10.1016/j.anbehav.2009.09.001
boldness,,,,,guppies,,,,https://sci-hub.st/10.1093/beheco/arn129,,2009,"Dyer, John R. G. (bgyjdd@leeds.ac.uk) ; Croft, Darren P.; Morrell, Lesley J.; Krause, Jens",Behavioral Ecology,Shoal Composition Determines Foraging Success In The Guppy,10.1093/beheco/arn129
,,,,,chacma baboons,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arp095,http://dx.doi.org/10.1093/beheco/arp095,2009,"King, AJ; Isaac, NJB; Cowlishaw, G",Behavioral Ecology,"Ecological, Social, And Reproductive Factors Shape Producer-Scrounger Dynamics In Baboons",10.1093/beheco/arp095
,,,,,,n,,,,,2009,"Lefebvre, L., Boogert, N.J.",Encyclopedia Of Animal Behavior,Avian Social Learning,10.1016/B978-0-08-045337-8.00060-7
,,,,,,n,,,,,2009,"Giraldeau, L.-A.",Encyclopedia Of Animal Behavior,Group Foraging,10.1016/B978-0-08-045337-8.00215-1
,,,,,,n,,,,,2009,"Nishimura, K.",Encyclopedia Of Animal Behavior,Kleptoparasitism And Cannibalism,10.1016/B978-0-08-045337-8.00279-5
,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1109/TEVC.2009.2011992,http://dx.doi.org/10.1109/TEVC.2009.2011992,2009,"He, S; Wu, QH; Saunders, JR",Ieee Transactions On Evolutionary Computation,Group Search Optimizer: An Optimization Algorithm Inspired By Animal Searching Behavior,10.1109/TEVC.2009.2011992
,,,,,,n,,,https://sci-hub.st/10.1007/s10764-009-9352-3,,2009,"Janmaat, K.R.L., Olupot, W., Chancellor, R.L., Arlet, M.E., Waser, P.M.",International Journal Of Primatology,Long-Term Site Fidelity And Individual Home Range Shifts In Lophocebus Albigena,10.1007/s10764-009-9352-3
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1111/j.1420-9101.2009.01804.x,http://dx.doi.org/10.1111/j.1420-9101.2009.01804.x,2009,"Franz, M; Nunn, CL",Journal Of Evolutionary Biology,Rapid Evolution Of Social Learning,10.1111/j.1420-9101.2009.01804.x
patch heterogeneity,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1016/j.jtbi.2009.06.002,http://dx.doi.org/10.1016/j.jtbi.2009.06.002,2009,"Ohtsuka, Y; Toquenaga, Y",Journal Of Theoretical Biology,The Patch Distributed Producer-Scrounger Game,10.1016/j.jtbi.2009.06.002
basal metabolic rate,,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.1111/j.1600-0706.2009.17357.x,http://dx.doi.org/10.1111/j.1600-0706.2009.17357.x,2009,"Mathot, KJ; Godde, S; Careau, V; Thomas, DW; Giraldeau, LA",Oikos,Testing Dynamic Variance-Sensitive Foraging Using Individual Differences In Basal Metabolic Rates Of Zebra Finches,10.1111/j.1600-0706.2009.17357.x
humans,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2009.0724,http://dx.doi.org/10.1098/rspb.2009.0724,2009,"Lehmann, L; Feldman, MW",Proceedings Of The Royal Society B-Biological Sciences,"Coevolution Of Adaptive Technology, Maladaptive Culture And Population Size In A Producer-Scrounger Game",10.1098/rspb.2009.0724
,,,,,,n,,,https://sci-hub.st/10.1086/655429,,2010,"Stiefs, D., Van Voorn, G.A.K., Kooi, B.W., Feudel, U., Gross, T.",American Naturalist,Food Quality In Producer-Grazer Models: A Generalized Analysis,10.1086/655429
learning,,,,,nutmeg mannikins,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arp195,http://dx.doi.org/10.1093/beheco/arp195,2010,"Morand-Ferron, J; Giraldeau, LA",Behavioral Ecology,Learning Behaviorally Stable Solutions To Producer-Scrounger Games,10.1093/beheco/arp195
,,,,,zebra finches,y,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arq069,http://dx.doi.org/10.1093/beheco/arq069,2010,"Mathot, KJ; Giraldeau, LA",Behavioral Ecology,Within-Group Relatedness Can Lead To Higher Levels Of Exploitation: A Model And Empirical Test,10.1093/beheco/arq069
heritability,,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.1007/s00265-010-0992-2,http://dx.doi.org/10.1007/s00265-010-0992-2,2010,"Mathot, KJ; Giraldeau, LA",Behavioral Ecology And Sociobiology,Family-Related Differences In Social Foraging Tactic Use In The Zebra Finch (Taeniopygia Guttata),10.1007/s00265-010-0992-2
,,,,,,n,,,https://sci-hub.st/10.1016/j.beproc.2010.03.003,,2010,"Reebs, Stephan G. (Stephan.Reebs@umoncton.ca)",Behavioural Processes,Temporal Complementarity Of Information-Based Leadership,10.1016/j.beproc.2010.03.003
,,,y,,,n,,,sci-hub.st/http://dx.doi.org/10.1525/cond.2010.090237,http://dx.doi.org/10.1525/cond.2010.090237,2010,"Nocera, JJ; Forbes, GJ",Condor,Incorporating Social Information To Improve The Precision Of Models Of Avian Habitat Use,10.1525/cond.2010.090237
,,,,,,n,,,https://sci-hub.st/10.1016/j.foreco.2010.05.014,,2010,"Zong, C., Wauters, L.A., Van Dongen, S., Mari, V., Romeo, C., Martinoli, A., Preatoni, D., Tosi, G.",Forest Ecology And Management,Annual Variation In Predation And Dispersal Of Arolla Pine (Pinus Cembra L.) Seeds By Eurasian Red Squirrels And Other Seed-Eaters,10.1016/j.foreco.2010.05.014
,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1016/j.jtbi.2010.09.026,http://dx.doi.org/10.1016/j.jtbi.2010.09.026,2010,"Arbilly, M; Motro, U; Feldman, MW; Lotem, A",Journal Of Theoretical Biology,Co-Evolution Of Learning Complexity And Social Foraging Strategies,10.1016/j.jtbi.2010.09.026
kinds of information,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1111/j.1600-0706.2009.17400.x,http://dx.doi.org/10.1111/j.1600-0706.2009.17400.x,2010,"Hamblin, S; Mathot, KJ; Morand-Ferron, J; Nocera, JJ; Rieucau, G; Giraldeau, LA",Oikos,Predator Inadvertent Social Information Use Favours Reduced Clumping Of Its Prey,10.1111/j.1600-0706.2009.17400.x
personality,,,,,barnacle geese,,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2009.1474,http://dx.doi.org/10.1098/rspb.2009.1474,2010,"Kurvers, RHJM; Prins, HHT; van Wieren, SE; van Oers, K; Nolet, BA; Ydenberg, RC",Proceedings Of The Royal Society B-Biological Sciences,The Effect Of Personality On Social Foraging: Shy Barnacle Geese Scrounge More,10.1098/rspb.2009.1474
learning,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2010.0857,http://dx.doi.org/10.1098/rspb.2010.0857,2010,"Dubois, F; Morand-Ferron, J; Giraldeau, LA",Proceedings Of The Royal Society B-Biological Sciences,Learning In A Game Context: Strategy Choice By Some Keeps Learning From Evolving In Others,10.1098/rspb.2010.0857
,,,,,,n,,,https://sci-hub.st/10.1098/rspb.2009.1659,,2010,"Pulkkinen, K. (katja.a.pulkkinen@.jyu.fi) ; Suomalainen, L. -R.; Read, A. F.; Ebert, D.; Rintamaki, P.; Valtonen, E. T.",Proceedings Of The Royal Society Biological Sciences Series B,Intensive Fish Farming And The Evolution Of Pathogen Virulence: The Case Of Columnaris Disease In Finland,10.1098/rspb.2009.1659
personality,,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2011.03.025,http://dx.doi.org/10.1016/j.anbehav.2011.03.025,2011,"David, M; Cezilly, F; Giraldeau, LA",Animal Behaviour,Personality Affects Zebra Finch Feeding Success In A Producer-Scrounger Game,10.1016/j.anbehav.2011.03.025
individual differences,,,,,nutmeg mannikins,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2011.07.014,http://dx.doi.org/10.1016/j.anbehav.2011.07.014,2011,"Morand-Ferron, J; Wu, GM; Giraldeau, LA",Animal Behaviour,Persistent Individual Differences In Tactic Use In A Producer-Scrounger Game Are Group Dependent,10.1016/j.anbehav.2011.07.014
humans,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.evolhumbehav.2010.12.001,http://dx.doi.org/10.1016/j.evolhumbehav.2010.12.001,2011,"Mesoudi, A",Evolution And Human Behavior,An Experimental Comparison Of Human Social Learning Strategies: Payoff-Biased Social Learning Is Adaptive But Underused,10.1016/j.evolhumbehav.2010.12.001
,,,,,,n,,,https://sci-hub.st/10.1007/s10682-010-9428-8,,2011,"Chamorro-Florescano, I.A., Favila, M.E., Macías-Ordóñez, R.",Evolutionary Ecology,"Ownership, Size And Reproductive Status Affect The Outcome Of Food Ball Contests In A Dung Roller Beetle: When Do Enemies Share?",10.1007/s10682-010-9428-8
,,,,,,n,,,https://sci-hub.st/10.1504/IJWMC.2011.044102,,2011,"Yao, J., Cui, Z., Wei, Z., Tan, Y.",International Journal Of Wireless And Mobile Computing,Hybrid Group Search Optimiser With Quadratic Interpolation Method And Its Application,10.1504/IJWMC.2011.044102
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.jtbi.2011.04.023,http://dx.doi.org/10.1016/j.jtbi.2011.04.023,2011,"Barclay, P",Journal Of Theoretical Biology,Competitive Helping Increases With The Size Of Biological Markets And Invades Defection,10.1016/j.jtbi.2011.04.023
learning,,,,,house sparrows,,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2010.1151,http://dx.doi.org/10.1098/rspb.2010.1151,2011,"Katsnelson, E; Motro, U; Feldman, MW; Lotem, A",Proceedings Of The Royal Society B-Biological Sciences,Individual-Learning Ability Predicts Social-Foraging Strategy In House Sparrows,10.1098/rspb.2010.1151
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2010.1562,http://dx.doi.org/10.1098/rspb.2010.1562,2011,"Webster, MM; Laland, KN",Proceedings Of The Royal Society B-Biological Sciences,Reproductive State Affects Reliance On Public Information In Sticklebacks,10.1098/rspb.2010.1562
behavioural reaction norms,,,,,nutmeg mannikins,,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2010.1769,http://dx.doi.org/10.1098/rspb.2010.1769,2011,"Morand-Ferron, J; Varennes, E; Giraldeau, LA",Proceedings Of The Royal Society B-Biological Sciences,Individual Differences In Plasticity And Sampling When Playing Behavioural Games,10.1098/rspb.2010.1769
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.asoc.2011.10.021,http://dx.doi.org/10.1016/j.asoc.2011.10.021,2012,"Chen, DB; Wang, JT; Zou, F; Hou, WB; Zhao, CX",Applied Soft Computing,An Improved Group Search Optimizer With Operation Of Quantum-Behaved Swarm And Its Application,10.1016/j.asoc.2011.10.021
personality,,,,,barnacle geese,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arr148,http://dx.doi.org/10.1093/beheco/arr148,2012,"Kurvers, RHJM; de Hoog, SIV; van Wieren, SE; Ydenberg, RC; Prins, HHT",Behavioral Ecology,No Evidence For Negative Frequency-Dependent Feeding Performance In Relation To Personality,10.1093/beheco/arr148
,,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arr171,http://dx.doi.org/10.1093/beheco/arr171,2012,"David, M; Giraldeau, LA",Behavioral Ecology,Zebra Finches In Poor Condition Produce More And Consume More Food In A Producer-Scrounger Game,10.1093/beheco/arr171
,,,,,,n,kleptoparasitism,,sci-hub.st/http://dx.doi.org/10.1093/beheco/ars061,http://dx.doi.org/10.1093/beheco/ars061,2012,"Hadjichrysanthou, C; Broom, M",Behavioral Ecology,When Should Animals Share Food? Game Theory Applied To Kleptoparasitic Populations With Food Sharing,10.1093/beheco/ars061
,,,,,,n,,,,,2012,"Wang, L., Hu, X., Ning, J., Jing, L.",Communications In Computer And Information Science,A Modified Group Search Optimizer Algorithm For High Dimensional Function Optimization,10.1007/978-3-642-34041-3_32
,,,,,house sparrows,,,,sci-hub.st/http://dx.doi.org/10.1111/eth.12013,http://dx.doi.org/10.1111/eth.12013,2012,"Belmaker, A; Motro, U; Feldman, MW; Lotem, A",Ethology,Learning To Choose Among Social Foraging Strategies In Adult House Sparrows (Passer Domesticus),10.1111/eth.12013
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1111/j.1558-5646.2011.01541.x,http://dx.doi.org/10.1111/j.1558-5646.2011.01541.x,2012,"Kobayashi, Y; Wakano, JY",Evolution,Evolution Of Social Versus Individual Learning In An Infinite Island Model,10.1111/j.1558-5646.2011.01541.x
,,,,,,n,,,,,2012,"Wang, L., Jing, L., Hu, X., Ning, J.",International Journal Of Advancements In Computing Technology,Improvement On Group Search Optimizer With Multi-Strategy,10.4156/ijact.vol4.issue16.50
,,,,,,n,,,,,2012,"Liao, H., Chen, H., Wu, Q., Bazargan, M., Ji, Z.",Lecture Notes In Computer Science (Including Subseries Lecture Notes In Artificial Intelligence And Lecture Notes In Bioinformatics),Group Search Optimizer For Power System Economic Dispatch,10.1007/978-3-642-30976-2_30
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1371/journal.pone.0032411,http://dx.doi.org/10.1371/journal.pone.0032411,2012,"Ward, AJW; Krause, J; Sumpter, DJT",Plos One,Quorum Decision-Making In Foraging Fish Shoals,10.1371/journal.pone.0032411
genetic algorithm,y,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1371/journal.pone.0049400,http://dx.doi.org/10.1371/journal.pone.0049400,2012,"Kurvers, RHJM; Hamblin, S; Giraldeau, LA",Plos One,The Effect Of Exploration On The Use Of Producer-Scrounger Tactics,10.1371/journal.pone.0049400
,,,,,,n,,,,,2012,"Akhand, M.A.H., Junaed, A.B.M., Hossain, M.F., Murase, K.","Proceeding Of The 15Th International Conference On Computer And Information Technology, Iccit 2012",Group Search Optimization To Solve Traveling Salesman Problem,10.1109/ICCITechn.2012.6509797
,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1073/pnas.1201739109,http://dx.doi.org/10.1073/pnas.1201739109,2012,"Tania, N; Vanderlei, B; Heath, JP; Edelstein-Keshet, L",Proceedings Of The National Academy Of Sciences Of The United States Of America,Role Of Social Interactions In Dynamic Patterns Of Resource Patches And Forager Aggregation,10.1073/pnas.1201739109
"agent based, learning",,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2011.1734,http://dx.doi.org/10.1098/rspb.2011.1734,2012,"Katsnelson, E; Motro, U; Feldman, MW; Lotem, A",Proceedings Of The Royal Society B-Biological Sciences,Evolution Of Learned Strategy Choice In A Frequency-Dependent Game,10.1098/rspb.2011.1734
individual differences,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2011.2342,http://dx.doi.org/10.1098/rspb.2011.2342,2012,"Dubois, F; Giraldeau, LA; Reale, D",Proceedings Of The Royal Society B-Biological Sciences,Frequency-Dependent Payoffs And Sequential Decision-Making Favour Consistent Tactic Use,10.1098/rspb.2011.2342
,,,,,,n,,,,,2012,"Laland, K.N., Dean, L., Hoppitt, W., Rendell, L., Webster, M.M.",The Oxford Handbook Of Comparative Cognition,"Social Learningstrategies, Mechanisms, And Models",10.1093/oxfordhb/9780195392661.013.0042
,,,,,,n,,,,,2013,"Junaed, A.B.M., Akhand, M.A.H., Al-Mahmud, Murase, K.","2013 International Conference On Informatics, Electronics And Vision, Iciev 2013",Multi-Producer Group Search Optimizer For Function Optimization,10.1109/ICIEV.2013.6572665
,,,,,rooks,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2013.03.013,http://dx.doi.org/10.1016/j.anbehav.2013.03.013,2013,"Jolles, JW; Ostojic, L; Clayton, NS",Animal Behaviour,"Dominance, Pair Bonds And Boldness Determine Social-Foraging Tactics In Rooks, Corvus Frugilegus",10.1016/j.anbehav.2013.03.013
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2013.03.016,http://dx.doi.org/10.1016/j.anbehav.2013.03.016,2013,"Yip, EC; Rayor, LS",Animal Behaviour,The Influence Of Siblings On Body Condition In A Social Spider: Is Prey Sharing Cooperation Or Competition?,10.1016/j.anbehav.2013.03.016
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2013.04.014,http://dx.doi.org/10.1016/j.anbehav.2013.04.014,2013,"Webster, MM; Laland, KN",Animal Behaviour,"Local Enhancement Via Eavesdropping On Courtship Displays In Male Guppies, Poecilia Reticulata",10.1016/j.anbehav.2013.04.014
,,,,,chacma baboons,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2013.07.009,http://dx.doi.org/10.1016/j.anbehav.2013.07.009,2013,"Carter, AJ; Marshall, HH; Heinsohn, R; Cowlishaw, G",Animal Behaviour,Personality Predicts Decision Making Only When Information Is Unreliable,10.1016/j.anbehav.2013.07.009
,,,,,house sparrows,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/art079,http://dx.doi.org/10.1093/beheco/art079,2013,"Ilan, T; Katsnelson, E; Motro, U; Feldman, MW; Lotem, A",Behavioral Ecology,The Role Of Beginner'S Luck In Learning To Prefer Risky Patches By Socially Foraging House Sparrows,10.1093/beheco/art079
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1007/s00265-012-1458-5,http://dx.doi.org/10.1007/s00265-012-1458-5,2013,"Kendall, CJ",Behavioral Ecology And Sociobiology,Alternative Strategies In Avian Scavengers: How Subordinate Species Foil The Despotic Distribution,10.1007/s00265-012-1458-5
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1890/12-0572.1,http://dx.doi.org/10.1890/12-0572.1,2013,"Mariette, MM; Griffith, SC",Ecology,Does Coloniality Improve Foraging Efficiency And Nestling Provisioning? A Field Experiment In The Wild Zebra Finch,10.1890/12-0572.1
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1111/ele.12105,http://dx.doi.org/10.1111/ele.12105,2013,"Laskowski, KL; Bell, AM",Ecology Letters,Competition Avoidance Drives Individual Differences In Response To A Changing Food Resource In Sticklebacks,10.1111/ele.12105
,,,,,,n,,,,,2013,"Wang, H., Wei, J., Liu, C., Cao, J.",Hsi-An Chiao Tung Ta Hsueh/Journal Of Xi'An Jiaotong University,A Novel Adaptive Stochastic Search Algorithm Based On Group Founding And Joining Behaviors,10.7652/xjtuxb201312008
,,,,,,n,,,,,2013,"Wei, C., Fang, J.",International Journal Of Computing Science And Mathematics,Group Search Optimiser: A Brief Survey,10.1504/IJCSM.2013.054682
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1037/a0029602,http://dx.doi.org/10.1037/a0029602,2013,"Webster, MM; Laland, KN",Journal Of Comparative Psychology,The Learning Mechanism Underlying Public Information Use In Ninespine Sticklebacks (Pungitius Pungitius),10.1037/a0029602
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1371/journal.pone.0057378,http://dx.doi.org/10.1371/journal.pone.0057378,2013,"Roberts, G",Plos One,When Punishment Pays,10.1371/journal.pone.0057378
,,,,,,n,kleptoparasitism,,,,2013,"Broom, M., Rychtář, J., Sykes, D.G.",Springer Proceedings In Mathematics And Statistics,The Effect Of Information On Payoff In Kleptoparasitic Interactions,10.1007/978-1-4614-9332-7_13
,,,,,,n,,,,,2014,"Su, H.S., An, X.W.",Advanced Materials Research,Power Distribution Network Planning Based On Group Search Optimizer Algorithm,10.4028/www.scientific.net/AMR.971-973.1284
,,,,,,n,,,https://sci-hub.st/10.1086/678406,,2014,"Gounand, I., Mouquet, N., Canard, E., Guichard, F., Hauzy, C., Gravel, D.",American Naturalist,The Paradox Of Enrichment In Metaecosystems,10.1086/678406
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2014.02.009,http://dx.doi.org/10.1016/j.anbehav.2014.02.009,2014,"David, M; Gillingham, MAF; Salignon, M; Laskowski, KL; Giraldeau, LA",Animal Behaviour,Speed-Accuracy Trade-Off And Its Consequences In A Scramble Competition Context,10.1016/j.anbehav.2014.02.009
,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2014.07.022,http://dx.doi.org/10.1016/j.anbehav.2014.07.022,2014,"Afshar, M; Giraldeau, LA",Animal Behaviour,A Unified Modelling Approach For Producer-Scrounger Games In Complex Ecological Conditions,10.1016/j.anbehav.2014.07.022
,,,,y,,y,,,https://watermark.silverchair.com/aru002.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAsMwggK_BgkqhkiG9w0BBwagggKwMIICrAIBADCCAqUGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM2UcOq9f7QVqKEPeoAgEQgIICdgAsracmHwzuDGgmd6Uc9eNshostGdJrhAebtq7BwCratChGcw5vSqeZK12Mq_2sYip5_1yZgCdun2dx-Pesa7WYNEW9UV3AxYZhFX-nWnYG5HSknZoKuS8HcKChdJy42fRp9rvzSMQ4oRqxRgewfUvc0k-IzNCpAm8zSfbRzeHIkygoJIa1GElexgYBmfwwU8dqfqEhymOBGa_Ow9BhxlTHo0H8QzZxA0J8yLer5pkdO3XArj_K04k_El8BxwCOn9mpVSTRYbF1DcbiNPUoPqPhafGLRNUILm-bLCYi5E1upopsD1U04DMt3Y3KBBExetmdk2DbwHfIcT7lHDva1vNnGmyLaTHRK0o0wYuew6ytzm8OiEZ1ySLKH826XdHr45KXUIxNywVOXH1CMzb3Jlqn6EarE3NMzRCriyE19asElVoqelnpPgcBOHPahcaB23kfg9vHTjrirCLrS_IVqAo2m1Hrmlf_EMpbzmCHs0AXZa9-S4sqonG3Mm1JIQJl0R9SUipHAorq4PL8Wfxsbog-NUJDIsuBT8pv2dAffSvMMagI2OPsqw3Bp1NibxwMvDEQDUurLZ03SXhb4ySBaZBozL17agNVpCLjboMgCcpY2PKdYIXetrmXoEATXWrPbgCmsk_TGbPw7DRsi82SSSiFRCb6P_X5PVQsnJDo2ac73Ua2WEvOz0TLB_DE2_kkTUU5kHrDIQFxjgbiyWXYf6phH1HqN4a8QX8iMzpnRvcScnScMcaQqBqrbo_UPpDpBEt5yVe5ASsAyJJ4PwVBggkgLCbPSR8cpV9cO1zTiUPqu9e0Anak0MNBgsZJ2wOtq2y2yjCbxA,http://dx.doi.org/10.1093/beheco/aru002,2014,"Arbilly, M; Weissman, DB; Feldman, MW; Grodzinski, U",Behavioral Ecology,An Arms Race Between Producers And Scroungers Can Drive The Evolution Of Social Cognition,10.1093/beheco/aru002
,,,,,three-spined sticklebacks,,,,sci-hub.st/http://dx.doi.org/10.1111/bij.12320,http://dx.doi.org/10.1111/bij.12320,2014,"Olafsdottir, GA; Andreou, A; Magellan, K; Kristjansson, BK",Biological Journal Of The Linnean Society,"Divergence In Social Foraging Among Morphs Of The Three-Spined Stickleback, Gasterosteus Aculeatus",10.1111/bij.12320
"density, spatially explicit",,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1098/rsbl.2014.0522,http://dx.doi.org/10.1098/rsbl.2014.0522,2014,"Beauchamp, G; Ruxton, GD",Biology Letters,Frequency-Dependent Conspecific Attraction To Food Patches,10.1098/rsbl.2014.0522
,,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.3389/fevo.2014.00019,http://dx.doi.org/10.3389/fevo.2014.00019,2014,"David, M; Le Ho, M; Laskowski, KL; Salignon, M; Gillingham, MAF; Giraldeau, LA",Frontiers In Ecology And Evolution,Individual Differences In Behavioral Consistency Are Related To Sequential Access To Resources And Body Condition In A Producer-Scrounger Game,10.3389/fevo.2014.00019
,,,,,,n,,,,,2014,[No author name available],Intelligent Systems Reference Library,Group Search Optimizer Algorithm,10.1007/978-3-319-03404-1_12
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1098/rsif.2014.0674,http://dx.doi.org/10.1098/rsif.2014.0674,2014,"Bhattacharya, K; Vicsek, T",Journal Of The Royal Society Interface,Collective Foraging In Heterogeneous Landscapes,10.1098/rsif.2014.0674
kleptoparasitism,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1051/mmnp/20149309,http://dx.doi.org/10.1051/mmnp/20149309,2014,"Broom, M; Rychtar, J; Sykes, D",Mathematical Modelling Of Natural Phenomena,Kleptoparasitic Interactions Under Asymmetric Resource Valuation,10.1051/mmnp/20149309
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1155/2014/621393,http://dx.doi.org/10.1155/2014/621393,2014,"Cui, Z; Gu, XS",Mathematical Problems In Engineering,A Discrete Group Search Optimizer For Hybrid Flowshop Scheduling Problem With Random Breakdown,10.1155/2014/621393
,,,,,,n,,,,,2014,"Zheng, X.-W., Lu, D.-J., Chen, Z.-H.","Proceedings Of The 2014 Ieee Congress On Evolutionary Computation, Cec 2014",A Self-Adaptive Group Search Optimizer With Elitist Strategy,10.1109/CEC.2014.6900477
,,,,,"vultures, raptors",y,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2014.1072,http://dx.doi.org/10.1098/rspb.2014.1072,2014,"Kane, A; Jackson, AL; Ogada, DL; Monadjem, A; McNally, L",Proceedings Of The Royal Society B-Biological Sciences,Vultures Acquire Information On Carcass Location From Scavenging Eagles,10.1098/rspb.2014.1072
learning,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1016/j.tpb.2013.09.003,http://dx.doi.org/10.1016/j.tpb.2013.09.003,2014,"Dridi, S; Lehmann, L",Theoretical Population Biology,On Learning Dynamics Underlying The Evolution Of Learning Rules,10.1016/j.tpb.2013.09.003
,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1016/j.tpb.2013.09.006,http://dx.doi.org/10.1016/j.tpb.2013.09.006,2014,"Arbilly, M; Laland, KN",Theoretical Population Biology,The Local Enhancement Conundrum: In Search Of The Adaptive Value Of A Social Learning Mechanism,10.1016/j.tpb.2013.09.006
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.tpb.2013.12.003,http://dx.doi.org/10.1016/j.tpb.2013.12.003,2014,"Kobayashi, Y; Ohtsuki, H",Theoretical Population Biology,Evolution Of Social Versus Individual Learning In A Subdivided Population Revisited: Comparative Analysis Of Three Coexistence Mechanisms Using The Inclusive-Fitness Method,10.1016/j.tpb.2013.12.003
,,,,,,n,,,,,2015,"Akhand, MAH; Jannat, Z; Diba, T; Al-Mahmud",2015 Ieee International Wie Conference On Electrical And Computer Engineering (Wiecon-Ece),Optimization Of Capacitated Vehicle Routing Problem Using Producer-Scrounger Method,
"patch quality, variability",,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2015.04.016,http://dx.doi.org/10.1016/j.anbehav.2015.04.016,2015,"Afshar, M; Hall, CL; Giraldeau, LA",Animal Behaviour,Zebra Finches Scrounge More When Patches Vary In Quality: Experimental Support Of The Linear Operator Learning Rule,10.1016/j.anbehav.2015.04.016
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.asoc.2015.08.047,http://dx.doi.org/10.1016/j.asoc.2015.08.047,2015,"Zou, F; Wang, L; Hei, XH; Chen, DB",Applied Soft Computing,Teaching-Learning-Based Optimization With Learning Experience Of Other Learners And Its Application,10.1016/j.asoc.2015.08.047
