PT	AN	PM	DT	LT	TI	FT	AU	CA	BA	BE	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	UT
J	BACD200600330480		Article		Phenotypic correlates of scrounging behavior in zebra finches: Role of foraging efficiency and dominance		Beauchamp, G. (guy.beauchamp@umontreal.ca)				Ethology		2006	SEP 2006	112	9	873-878	873	878	English						2	30	In flocks, individuals can search for their own food using the producer tactic or exploit the discoveries of companions using the scrounger tactic. Models of the producer-scrounger game usually assume that tactic payoffs are independent of individual phenotypic traits. However, factors such as dominance status or foraging efficiency may constrain the use of tactics and lead to asymmetric tactic use among individuals. For instance, in flocks composed of foragers with unequal foraging efficiency, foragers that are less efficient at obtaining food are expected to rely on the scrounger tactic to a greater extent. I examined the role of foraging efficiency and dominance status as potential correlates of scrounging behavior in small aviary flocks of zebra finches (Taenopygia guttata). Individual foraging efficiency was documented in each flock in a treatment that prevented scrounging. In a subsequent treatment that allowed scrounging, higher levels of scrounging occurred as predicted in foragers with lower foraging efficiency. Dominance status was a poor predictor of tactic choice. Birds that arrived later on the foraging grid foraged less efficiently when scrounging was prevented and used scrounging to a greater extent when allowed, suggesting a link between boldness, foraging efficiency and the choice of foraging tactics in small flocks of zebra finches.	Beauchamp, G.; Univ Montreal, Fac Med Vet, POB 5000, St Hyacinthe, PQ J2S 7C6, Canada						Behavioral Sciences	0179-1613		10.1111/j.1439-0310.2006.01241.x		Behavior	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Taeniopygia guttata; zebra finch; (adult; female, male)]									phenotype; foraging efficiency; scrounging behavior; foraging dominance				2023-03-15	BIOABS:BACD200600330480
J	BACD201100030888	20858503	Article		Co-evolution of learning complexity and social foraging strategies		Arbilly, Michal; Motro, Uzi; Feldman, Marcus W.; Lotem, Arnon				Journal of Theoretical Biology		2010	DEC 21 2010	267	4	573-581	573	581	English						0	33	Variation in learning abilities within populations suggests that complex learning may not necessarily be more adaptive than simple learning Yet the high cost of complex learning cannot fully explain this variation without some understanding of why complex learning is too costly for some individuals but not for others Here we propose that different social foraging strategies can favor different learning strategies (that learn the environment with high or low resolution) thereby maintaining variable learning abilities within populations Using a genetic algorithm in an agent-based evolutionary simulation of a social foraging game (the producer-scrounger game) we demonstrate how an association evolves between a strategy based on Independent search for food (playing a producer) and a complex (high resolution) learning rule while a strategy that combines Independent search and following others (playing a scrounger) evolves an association with a simple (low resolution) learning rule The reason for these associations is that for complex learning to have an advantage a large number of learning steps normally not achieved by scroungers are necessary These results offer a general explanation for persistent variation in cognitive abilities that is based on co-evolution of learning rules and social foraging strategies (C) 2010 Elsevier Ltd All tights reserved	Arbilly, Michal; Tel Aviv Univ, Dept Zool, Fac Life Sci, IL-69978 Tel Aviv, Israel		Motro, Uzi/AAL-8426-2021				Behavioral Sciences; Evolutionary Biology	0022-5193	1095-8541	10.1016/j.jtbi.2010.09.026		Behavior; Evolution and Adaptation	01500, Evolution; 07002, Behavioral biology - General and comparative behavior								genetic algorithm; laboratory techniques, mathematical and computer techniques, genetic techniques/agent-based evolutionary simulation; mathematical and computer techniques		cognitive ability; social foraging; learning complexity	Green Accepted			2023-03-15	BIOABS:BACD201100030888
J	BACD199698692840		Article		Producers, scroungers and foraging group structure		Ranta, Esa; Peuhkuri, Nina; Laurila, Anssi; Rita, Hannu; Metcalfe, Neil B.				Animal Behaviour		1996		51	1	171-175	171	175	English						0	10	The producer-scrounger model of Barnard and Sibly (1981, Anim. Behav., 29, 543-550) predicts that at a certain ratio of producers and scroungers in a foraging group the payoff curves for individuals of the two phenotypes intercept. At this point all the group members obtain equal payoffs. In this paper, the original model is elaborated further by allowing individuals to differ not only in their food-finding abilities but also in their abilities to compete for the food once it is found. As in Barnard and Sibly's original model foraging individuals are assumed to share information about the whereabouts of food patches and to benefit from patches found by others. Here it is determined under which combinations of searching and sharing characters food intake rate in mixed-phenotype groups would be equal for producing and scrounging individuals. In the present model the payoffs are much affected by both the finder's advantage (the fraction of prey available only to the finder of the food-patch) and the combination of the foraging characters of the two phenotypes. Generally the intake rate of producers increases with their presence in the group and with increases in the finder's advantage. Our model suggests that the equal payoffs arise only when the relative food-searching and competitive abilities of producers and scroungers fall within a narrow range of options acknowledging also the finder's advantage. Moreover, such combinations are predicted to be unstable if only foraging benefits are called for in group formation, this being a common feature of social foraging models incorporating foraging role asymmetries.	Ranta, Esa; Dep. Ecol. Systematics, P.O. Box 17, FIN-00014, University Helsinki, Helsinki, Finland		Peuhkuri, Nina/M-9662-2018; Metcalfe, Neil B./C-5997-2009	Peuhkuri, Nina/0000-0002-0301-282X; Metcalfe, Neil B./0000-0002-1970-9349			Behavioral Sciences; Communication; Environmental Sciences & Ecology; Mathematical & Computational Biology; Nutrition & Dietetics	0003-3472		10.1006/anbe.1996.0014		Behavior; Communication; Ecology (Environmental Sciences); Models and Simulations (Computational Biology); Nutrition	07003, Behavioral biology - Animal behavior; 07006, Behavioral biology - Animal communication; 07508, Ecology: environmental biology - Animal; 10515, Biophysics - Biocybernetics; 13202, Nutrition - General studies, nutritional status and methods	Animalia; Animals; Animalia [33000]; [animal] [Animalia]									COMPETITION; FOOD INTAKE RATE; INFORMATION SHARING; MODEL				2023-03-15	BIOABS:BACD199698692840
J	BACD199089081220		Article		KLEPTOPARASITISM AS A PROBLEM OF PREY CHOICE A STUDY ON MUDFLAT-FEEDING CURLEWS NUMENIUS-ARQUATA		ENS B J; ESSELINK P; ZWARTS L				Animal Behaviour		1990		39	2	219-230	219	230	English						2	15	Curlews feeding on intertidal flats attacked mainly conspecifics for prey, whereas they themselves also fell victim to kleptoparasitic attacks from gulls. There is no convincing evidence that robbers obtained other benefits, such as access to a good feeding site, besides the stolen prey itself. The data are consistent with the view that kleptoparasitism should be treated as a problem of prey choice, where attacks are initiated so as to maximize the net rate of energy gain. Attacks were directed mainly towards conspecifics handlings large prey animals. There was no evidence of a simple producer-scrounger dichotomy. Instead, a dominance hierarchy seems more likely, where each individual could initiate attacks, but did so predominantly towards subdominant individuals, according to immediate profitability.	ENS B J; ZOOL LAB, UNIV GRONINGEN, PO BOX 14, 9750 AA HAREN, NETH, NETHERLANDS						Behavioral Sciences; Environmental Sciences & Ecology; Nutrition & Dietetics	0003-3472		10.1016/S0003-3472(05)80866-8		Behavior; Ecology (Environmental Sciences); Nutrition	07003, Behavioral biology - Animal behavior; 07508, Ecology: environmental biology - Animal; 13202, Nutrition - General studies, nutritional status and methods	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Charadriiformes [85518]									GULL FEEDING BEHAVIOR DOMINANCE HIERARCHY				2023-03-15	BIOABS:BACD199089081220
J	BACD201200398604	22745167	Article		Role of social interactions in dynamic patterns of resource patches and forager aggregation		Tania, Nessy; Vanderlei, Ben; Heath, Joel P.; Edelstein-Keshet, Leah (keshet@math.ubc.ca)				Proceedings of the National Academy of Sciences of the United States of America		2012	JUL 10 2012	109	28	11228-11233	11228	11233	English						1	23	The dynamics of resource patches and species that exploit such patches are of interest to ecologists, conservation biologists, modelers, and mathematicians. Here we consider how social interactions can create unique, evolving patterns in space and time. Whereas simple prey taxis (with consumable prey) promotes spatial uniform distributions, here we show that taxis in producer-scrounger groups can lead to pattern formation. We consider two types of foragers: those that search directly ("producers") and those that exploit other foragers to find food ("scroungers" or exploiters). We show that such groups can sustain fluctuating spatiotemporal patterns, akin to "waves of pursuit." Investigating the relative benefits to the individuals, we observed conditions under which either strategy leads to enhanced success, defined as net food consumption. Foragers that search for food directly have an advantage when food patches are localized. Those that seek aggregations of group mates do better when their ability to track group mates exceeds the foragers' food-sensing acuity. When behavioral switching or reproductive success of the strategies is included, the relative abundance of foragers and exploiters is dynamic over time, in contrast with classic models that predict stable frequencies. Our work shows the importance of considering two-way interaction-i.e., how food distribution both influences and is influenced by social foraging and aggregation of predators.	Edelstein-Keshet, Leah; Univ British Columbia, Dept Math, Vancouver, BC V6T 1Z2, Canada			Tania, Nessy/0000-0003-4256-2434			Environmental Sciences & Ecology	0027-8424		10.1073/pnas.1201739109		Ecology (Environmental Sciences)	07502, Ecology: environmental biology - General and methods	Organisms; Organisms; Organisms [00500]; [organism]									social interaction; two-way interaction; social foraging; food distribution; spatiotemporal pattern; dynamic pattern; resource patches; forager aggregation; food-sensing acuity; dynamic over time	Green Submitted, Green Published			2023-03-15	BIOABS:BACD201200398604
J	BACD202200014288	34734419	Article		On the importance of accounting for alternative foraging tactics when assessing cognitive performance in wild animals		Vernouillet, Alizee (Alizee.vernouillet@ugent.be)				Journal of Animal Ecology		2021	NOV 2021	90	11	2474-2477	2474	2477	English						4	11	Research Highlight: Reichert, S., Morand-Ferron, J., Kulahci, I. G., Firth, J. A., Davidson, G. L., Crofts, S. J., & Quinn, J. L. (2021) Cognition and covariance in the producer-scrounger game. Journal of Animal Ecology, . When foraging in groups, individuals can either acquire their own resources, as producers, or profit from the work of other individuals, as scroungers. Individuals vary in how much they rely on one foraging tactic over the other. Yet, each of these foraging tactics presents unique cognitive challenges. Using a field experiment with a mixed-species flock of birds, Reichert et al. (2021) investigated how production learning (i.e. successfully feeding from their assigned rewarded feeder) and scrounging propensity (i.e. collecting food from a non-assigned feeders by following another individual) are related at an individual level, as well as the repeatability of both production learning and scrounging propensity. The authors show that overall, (a) individuals learned to scrounge, (b) individuals who rely more on scrounging took longer to learn their assigned feeder and (c) variation in each cognitive trait was mostly explained by individual behavioural flexibility rather than by consistent differences between individuals. Since learning was negatively correlated with the use of an alternative foraging tactic (i.e. scrounging), results of this study also suggest that individual choice of foraging tactics should be considered when evaluating cognitive abilities in wild animals.	Vernouillet, Alizee; Univ Ghent, Dept Expt Psychol, Ghent, Belgium						Behavioral Sciences; Environmental Sciences & Ecology; Neurosciences & Neurology	0021-8790	1365-2656	10.1111/1365-2656.13602		Behavior; Terrestrial Ecology (Ecology, Environmental Sciences); Neural Coordination	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 20504, Nervous system - Physiology and biochemistry	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird]									cognitive performance; behavioral flexibility; foraging tactics; cognitive challenge; cognitive trait; alternative foraging tactics; scrounging propensity				2023-03-15	BIOABS:BACD202200014288
J	BACD200900024535		Article		A spatial model of producing and scrounging		Beauchamp, Guy (guy.beauchamp@umontreal.ca)				Animal Behaviour		2008	DEC 2008	76	Part 6	1935-1942	1935	1942	English						0	23	When foraging in groups, foragers in producer mode search for food independently and foragers in scrounger mode search for opportunities to join the food discoveries of other companions. Producer-scrounger ( PS) models predict that at equilibrium scrounging will increase with group size and with patch richness but will be independent of food patch encounter rate. Earlier PS models assume that foragers arrive instantaneously at scrounged food patches, which is not realistic at the habitat level, at which food patches can be far apart. Here, I develop a spatially explicit model of producing and scrounging in which individuals pay a time cost when travelling to scrounged food patches and may join patches with little or no food left when they arrive. Using a genetic-algorithm approach, I confirm that scrounging increases with patch richness and add several novel predictions. In particular, scrounging is expected to increase with a decrease in food patch encounter rate and can actually decrease when forager density is high. In habitats in which food intake rate increases with the number of foragers at food patches, scrounging at low forager densities is actually predicted to increase success. The spatial model also highlights the self-organizing nature of scrounging. Because scrounging reduces the average distance between foragers, thus reducing the costs of joining, attempts to scrounge make further scrounging more likely to evolve. The spatial model of producing and scrounging provides novel insights into the evolution of group foraging. (C) 2008 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.	Beauchamp, Guy; Univ Montreal, Fac Vet Med, POB 5000, St Hyacinthe, PQ J2S 7C6, Canada						Behavioral Sciences	0003-3472	1095-8282	10.1016/j.anbehav.2008.08.017		Behavior	07002, Behavioral biology - General and comparative behavior								genetic-algorithm approach; mathematical and computer techniques		foraging; scrounging; spatial model; habitat level				2023-03-15	BIOABS:BACD200900024535
J	BACD201700533860	28405371	Article		Scrounging by foragers can resolve the paradox of enrichment		Toyokawa, Wataru (wt25@st-andrews.ac.uk)				Royal Society Open Science		2017	MAR 2017	4	3	Article No.: 160830	160830		English						0	5	Theoretical models of predator-prey systems predict that sufficient enrichment of prey can generate large amplitude limit cycles, paradoxically causing a high risk of extinction (the paradox of enrichment). Although real ecological communities contain many gregarious species, whose foraging behaviour should be influenced by socially transmitted information, few theoretical studies have examined the possibility that social foraging might resolve this paradox. I considered a predator population in which individuals play the producer-scrounger foraging game in one-prey-one-predator and two-prey-onepredator systems. I analysed the stability of a coexisting equilibrium point in the one-prey system and that of nonequilibrium dynamics in the two-prey system. The results revealed that social foraging could stabilize both systems, and thereby resolve the paradox of enrichment when scrounging behaviour (i.e. kleptoparasitism) is prevalent in predators. This suggests a previously neglected mechanism underlying a powerful effect of group-living animals on the sustainability of ecological communities.	Toyokawa, Wataru; Univ St Andrews, Sch Biol, St Andrews KY16 9TH, Fife, UK			Toyokawa, Wataru/0000-0001-8558-8568			Environmental Sciences & Ecology; Mathematical & Computational Biology	2054-5703	2054-5703	10.1098/rsos.160830		Terrestrial Ecology (Ecology, Environmental Sciences); Models and Simulations (Computational Biology)	04500, Mathematical biology and statistical methods; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 10515, Biophysics - Biocybernetics	Animalia; Animals; Animalia [33000]; [animal]							modeling; mathematical and computer techniques		foraging behavior; kleptoparasitism; predator-prey system; ecological community; forager scrounging	gold, Green Published, Green Submitted			2023-03-15	BIOABS:BACD201700533860
J	BACD201600317733	26888031	Article		Information use and resource competition: an integrative framework		Lee, Alexander E. G. (alexander.lee@ioz.ac.uk) ; Ounsley, James P.; Coulson, Tim; Rowcliffe, J. Marcus; Cowlishaw, Guy				Proceedings of the Royal Society Biological Sciences Series B		2016	FEB 24 2016	283	1825	Article No.: 20152550	20152550		English						0	24	Organisms may reduce uncertainty regarding how best to exploit their environment by collecting information about resource distribution. We develop a model to demonstrate how competition can facilitate or constrain an individual's ability to use information when acquiring resources. As resource distribution underpins both selection on information use and the strength and nature of competition between individuals, we demonstrate interdependencies between the two that should be common in nature. Individuals in our model can search for resources either personally or by using social information. We explore selection on social information use across a comprehensive range of ecological conditions, generalizing the producer scrounger framework to a wide diversity of taxa and resources. We show that resource ecology defined by scarcity, depletion rate and monopolizability determines patterns of individual differences in social information use. These differences suggest coevolutionary processes linking dominance systems and social information use, with implications for the evolutionary demography of populations.	Lee, Alexander E. G.; Zool Soc London, Inst Zool, Regents Pk, London NW1 4RY, UK		Coulson, Tim/AAL-8148-2021; Rowcliffe, Marcus/G-3713-2018; Lee, Alexander/; Ounsley, James/; Cowlishaw, Guy/	Coulson, Tim/0000-0001-9371-9003; Rowcliffe, Marcus/0000-0002-4286-6887; Lee, Alexander/0000-0002-3937-5083; Ounsley, James/0000-0001-8397-0659; Cowlishaw, Guy/0000-0002-7269-4625			Behavioral Sciences; Environmental Sciences & Ecology; Mathematical & Computational Biology; Evolutionary Biology	0962-8452	1471-2954	10.1098/rspb.2015.2550		Behavior; Terrestrial Ecology (Ecology, Environmental Sciences); Models and Simulations (Computational Biology); Evolution and Adaptation	01500, Evolution; 04500, Mathematical biology and statistical methods; 07002, Behavioral biology - General and comparative behavior; 07502, Ecology: environmental biology - General and methods; 10515, Biophysics - Biocybernetics	Organisms; Organisms; Organisms [00500]; [organism]									ecological condition; social information; evolutionary demography; competition strength; monopolizability; competition nature; resource distribution information; linking dominance system	Green Published, hybrid			2023-03-15	BIOABS:BACD201600317733
J	BACD201700589310	28374263	Article		Relationship between individual and group learning in a marine teleost: A case study with sea bass under self-feeding conditions		Benhaim, David (david.benhaim@cnam.fr) ; Ferrari, Sebastien; Colchen, Tatiana; Chatain, Beatrice; Begout, Marie-Laure				Learning & Behavior		2017	SEP 2017	45	3	276-286	276	286	English						0	25	Fish learning and cognition are usually approached by testing single individuals in various devices such as mazes that have serious drawbacks, especially in gregarious species, including the stress induced by the test procedure. This might impair the results and lead to misinterpretation about the learning abilities of the targeted species. In order to provide an alternative to the individual-based tests, we investigated for the first time the operant conditioning of four similar groups (50 individuals per tank) of sea bass. We used two computerized self-feeder devices per tank, each coupled with individual electronic identification and that were alternately activated during varying positive appetitive reinforcement period of time (7 to 1 day). Learning abilities were examined at both group and individual levels. At the group level, the operant conditioning was demonstrated as the triggering activity significantly decreased when the device was turned off and increased when it was turned on, whatever the reinforcement period duration. The individual level analysis revealed a more complex situation with fish showing different learning performances that can be best explained through the producer-scrounger game theory.	Benhaim, David; Normandie Univ, UNICAEN, LUSAC, Lab Univ Sci Appl Cherbourg, F-50100 Cherbourg, France		Benhaim, David/A-9991-2019; Begout, Marie-Laure/L-7730-2019	Begout, Marie-Laure/0000-0003-1416-3479			Environmental Sciences & Ecology; Marine & Freshwater Biology; Fisheries	1543-4494	1543-4508	10.3758/s13420-017-0266-1		Marine Ecology (Ecology, Environmental Sciences); Aquaculture	07508, Ecology: environmental biology - Animal; 07512, Ecology: environmental biology - Oceanography; 07516, Ecology: environmental biology - Wildlife management: aquatic	Pisces, Vertebrata, Chordata, Animalia; Animals, Chordates, Fish, Nonhuman Vertebrates, Vertebrates; Osteichthyes [85206]; [teleost]									personality trait; misinterpretation	Bronze, Green Submitted			2023-03-15	BIOABS:BACD201700589310
J	BACD199799784332		Article		Influence of conspecific attraction on the spatial distribution of learning foragers in a patchy habitat		Beauchamp, G.; Belisle, M.; Giraldeau, L.-A.				Journal of Animal Ecology		1997		66	5	671-682	671	682	English						1	29	1. Individuals in many social species are attracted to feeding conspecifics. The profitability of conspecific attraction is negatively frequency-dependent and can be modelled as a producer-scrounger (PS) game for which the ESS solution predicts some mixture of producer (no attraction) and scrounger (attraction) tactics in the population. Current models for the spatial distribution of rate-maximizing foragers, which learn the quality of habitats as they exploit patches, ignore the possible effect of conspecific attraction on the stable distribution of foragers. 2. We used simulations of a population with ESS levels of attraction to investigate the effect of conspecific attraction on the spatial distribution of learning foragers which incur travel costs. In habitats where patches depleted slowly, ESS levels of attraction helped foragers which experienced no interference reach the expected ideal free distribution (IFD) by facilitating aggregation to the richest patches. Large aggregations also occurred with interference and thus reduced the fit to the IFD, which in this case predicts a scatter of foragers across patches of varying quality. 3. In habitats where patches depleted rapidly, ESS levels of attraction prevented foragers from reaching the IFD, irrespective of interference levels. Foragers failed to learn habitat quality and thus often aggregated in poor patches, especially in large populations which depleted patches faster and had fewer opportunities to learn quality. 4. Predictions of the model in habitats where patches deplete slowly are supported by several studies. More work is needed for habitats where patches deplete more rapidly. We conclude that conspecific attraction can have important, and often disruptive effects on spatial distributions.	Giraldeau, L.-A.; Dep. Biol., Concordia Univ., 1455 Ouest, boul. de Maisonneuve, Montreal, PQ H3G 1M8, Canada			Belisle, Marc/0000-0003-0657-6724			Behavioral Sciences; Environmental Sciences & Ecology; Evolutionary Biology; Nutrition & Dietetics	0021-8790		10.2307/5920		Behavior; Ecology (Environmental Sciences); Evolution and Adaptation; Nutrition	01500, Evolution; 07003, Behavioral biology - Animal behavior; 07502, Ecology: environmental biology - General and methods; 13202, Nutrition - General studies, nutritional status and methods	Animalia; Animals; Animalia [33000]; [animal] [Animalia]									AGGREGATION; CONSPECIFIC ATTRACTION; ECOLOGY; EVOLUTIONARILY STABLE STRATEGY; FORAGER; FORAGERS; HABITAT QUALITY; IDEAL FREE DISTRIBUTION; INTERFERENCE COMPETITION; LEARNING; PATCH DEPLETION RATE; PATCHY HABITAT; SPATIAL DISTRIBUTION; TRAVEL COSTS				2023-03-15	BIOABS:BACD199799784332
J	BACD200900081380		Article		Shoal composition determines foraging success in the guppy		Dyer, John R. G. (bgyjdd@leeds.ac.uk) ; Croft, Darren P.; Morrell, Lesley J.; Krause, Jens				Behavioral Ecology		2009	JAN-FEB 2009	20	1	165-171	165	171	English						2	81	The composition of an animal group can impact greatly on the survival and success of its individual members. Much recent work has concentrated on behavioral variation within animal populations along the bold/shy continuum. Here, we screened individual guppies, Poecilia reticulata, for boldness using an overhead fright stimulus. We created groups consisting of 4 bold individuals (bold shoals), 4 shy individuals (shy shoals), or 2 bold and 2 shy individuals (mixed shoals). The performance of these different shoal types was then tested in a novel foraging scenario. We found that both bold and mixed shoals approached a novel feeder in less time than shy shoals. Interestingly, we found that more fish from mixed shoals fed than in either bold or shy shoals. We suggest that this can be explained by the fact that nearly all the cases where one fish was followed into the feeder by another occurred within mixed shoals and that it was almost always a shy fish following a bold one. These results suggest clear foraging benefits to shy individuals through associating with bold ones. Surprisingly, our results also suggest potential foraging benefits to bold individuals through associating with shy individuals. This study highlights a possible mechanism by which interindividual variation in behavioral types is maintained in a population.	Dyer, John R. G.; Univ Leeds, Inst Integrat and Comparat Biol, Leeds LS2 9JT, W Yorkshire, UK		La Rosa, Giuseppina/I-8532-2016; Croft, Darren P/B-5503-2009; Krause, Jens/J-4381-2013; Krause, Jens/C-2750-2011; Morrell, Lesley J/A-4311-2008; Fadda, Giovanni/K-6224-2012	La Rosa, Giuseppina/0000-0002-2657-100X; Croft, Darren P/0000-0001-6869-5097; Krause, Jens/0000-0002-1289-2857; Morrell, Lesley J/0000-0003-0256-7871;			Behavioral Sciences	1045-2249	1465-7279	10.1093/beheco/arn129		Behavior	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior	Pisces, Vertebrata, Chordata, Animalia; Animals, Chordates, Fish, Nonhuman Vertebrates, Vertebrates; Osteichthyes [85206]; [Poecilia reticulata; guppy]									boldness; foraging success; behavioral variation; social environment; shoal composition; personality-producer scrounger	Green Published			2023-03-15	BIOABS:BACD200900081380
J	BACD202200590499	35946152	Article		Behavioural specialization and learning in social networks		Leimar, Olof (olof.leimar@zoologi.su.se) ; Dall, Sasha R. X.; Houston, Alasdair I.; McNamara, John M. (john.mcnamara@bristol.ac.uk)				Proceedings of the Royal Society Biological Sciences Series B		2022	AUG 10 2022	289	1980	Article No.: 20220954	20220954		English						3	5	Interactions in social groups can promote behavioural specialization. One way this can happen is when individuals engage in activities with two behavioural options and learn which option to choose. We analyse interactions in groups where individuals learn from playing games with two actions and negatively frequency-dependent payoffs, such as producer-scrounger, caller-satellite, or hawk-dove games. Group members are placed in social networks, characterized by the group size and the number of neighbours to interact with, ranging from just a few neighbours to interactions between all group members. The networks we analyse include ring lattices and the much-studied small-world networks. By implementing two basic reinforcement-learning approaches, action-value learning and actor-critic learning, in different games, we find that individuals often show behavioural specialization. Specialization develops more rapidly when there are few neighbours in a network and when learning rates are high. There can be learned specialization also with many neighbours, but we show that, for action-value learning, behavioural consistency over time is higher with a smaller number of neighbours. We conclude that frequency-dependent competition for resources is a main driver of specialization. We discuss our theoretical results in relation to experimental and field observations of behavioural specialization in social situations.	Leimar, Olof; McNamara, John M.; Stockholm Univ, Dept Zool, S-10691 Stockholm, Sweden		Leimar, Olof/L-3781-2014; McNamara, John/	Leimar, Olof/0000-0001-8621-6977; McNamara, John/0000-0002-4235-3045			Behavioral Sciences; Science & Technology - Other Topics	0962-8452	1471-2954	10.1098/rspb.2022.0954		Behavior; Methods and Techniques	07002, Behavioral biology - General and comparative behavior; 07004, Behavioral biology - Human behavior	Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]							theoretical model; mathematical and computer techniques/behavioral evaluation; clinical techniques, diagnostic techniques/reinforcement learning task; clinical techniques, diagnostic techniques/caller satellite; medical equipment		ring lattice	Green Published, hybrid			2023-03-15	BIOABS:BACD202200590499
J	BACD202100026218		Article		Laboratory experiments reveal effects of group size on hunting performance in yellow saddle goatfish, Parupeneus cyclostomus		Steinegger, Marc; Sarhan, Hanaa; Bshary, Redouan (redouan.bshary@unine.ch)				Animal Behaviour		2020	OCT 2020	168		159-167	159	167	English						2	6	Group hunting where two or more individuals chase the same prey occurs in various vertebrate clades. Its evolution has typically been attributed to the resulting increased prey capture rate. Indeed, many studies have documented positive correlations between the number of individuals and probability of success, suggesting that joint hunting is cooperative. However, all existing data on vertebrates are based on field observations and hence cannot control for factors that may also influence hunting success, such as variation in habitat structure, hunting motivation or prey state. Therefore, we conducted controlled laboratory experiments to test whether hunting performance is affected by group size in the grouphunting yellow saddle goatfish. We presented invertebrate prey in an artificial coral reef and measured hunting performance as a function of manipulated group size, ranging from one to four individuals. We found that individuals hunting alone failed to catch the prey within the trial time limit significantly more often than groups did. Furthermore, we found that time until capture depended on group size, with singletons being slowest and groups of four fastest. With few exceptions, group members were approximately equally likely to catch prey. Hunting success as a singleton did not predict an individual's prey capture probability when in a group, suggesting that group hunting involves some producer-scrounger dynamics. In conclusion, while the experiment cannot address the question of how group size affects individual net calorie intake, the results show that groups are more successful at hunting than singletons are. (C) 2020 The Authors. Published by Elsevier Ltd on behalf of The Association for the Study of Animal Behaviour.	Bshary, Redouan; Univ Neuchatel, Dept Zool, Rue Emile Argand 11, CH-2000 Neuchatel, Switzerland			Sarhan, Hanaa/0000-0002-0943-7052			Behavioral Sciences; Marine & Freshwater Biology; Environmental Sciences & Ecology	0003-3472	1095-8282	10.1016/j.anbehav.2020.08.018		Behavior; Marine Ecology (Ecology, Environmental Sciences)	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 07508, Ecology: environmental biology - Animal; 07512, Ecology: environmental biology - Oceanography	Pisces, Vertebrata, Chordata, Animalia; Animals, Chordates, Fish, Nonhuman Vertebrates, Vertebrates; Osteichthyes [85206]; [Parupeneus cyclostomus; goatfish]									hunting performance; scrounger dynamics	hybrid			2023-03-15	BIOABS:BACD202100026218
